Ingredient,Category,kcal_per_100g
Raw Chicken Skinless Thigh,Meat,149
Ground beef (80/20),Meat,254
Raw Lean Pork,Meat,143
Raw Salmon,Meat,206
Uncooked Brown Rice,Carb,360
Sweet Potatoes,Carb,86
Broccoli,Vegetables,34
Cauliflower,Vegetables,25
Cherry Tomatoes,Vegetables,18
Cucumber,Vegetables,16
Onion,Vegetables,40
Bell peppers,Vegetables,27
Eggplant,Vegetables,25
Watermelon,Fruit,30
Peach,Fruit,39
Nectarine,Fruit,44
Orange,Fruit,47
Banana,Fruit,89
Red Apple,Fruit,52
Green Apple,Fruit,52
Grapes,Fruit,69
Cherries,Fruit,63
 Almonds,Fat,579
Peanut Butter,Fat,588
Whole Wheat Bread,Carb,247
Olive Oil,Fat,884
Manouri Cheese,Dairy,410
Feta Cheese,Dairy,264
Cottage Cheese,Dairy,98
Gouda Cheese,Dairy,356
Egg,Meat,142
Large Whole Wheat Tortilla,Carb,292
Mustard,Condiments,90
Kethup,Condiments,102
Milk 3.7%,Dairy,66
Milk 1.7%,Dairy,49
Total Yogurt 5%,Dairy,93
Total Yogurt 2%,Dairy,70
Total Yogurt 0%,Dairy,54
Orzo,Carb,360
Pummaro,Condiments,25
Gonchujang,Condiments,216
Parmesan,Dairy,431
Yellow Mozzarella,Dairy,375
Fresh Mozzarella,Dairy,280
Butter,Fat,751
Smoked Turkey,Meat,90
Light Gouda,Dairy,269
Oats,Carb,374
Cassius Roasted,Fat,560.0
